;Domain_Name;Org_Number;Company;Reg_Date;Website
375;thorsengruppen.no;977533678;Thorsen Kontormaskiner AS;1997-05-15;thorsengruppen.no
380;thune.no;933312402;N M Thune AS;1995-02-19;thune.no
384;time-kyrkja.no;976993616;TIME KYRKJELEGE FELLESRÅD;1997-01-27;time-kyrkja.no
385;tingvollost.no;985745714;TINGVOLLOST Waagen;2003-05-31;tingvollost.no
387;tinnenergi.no;982173329;TINN ENERGI OG FIBER AS;2000-07-04;tinnenergi.no
389;tlh.no;989145568;TRONDHEIM LEILIGHETSHOTELL AS;2011-06-27;tlh.no
392;tms.no;981697979;TØNSBERG MEDISINSKE SENTER AS;1998-12-11;tms.no
395;tollerodden.no;980287173;STIFTELSEN TOLLERODDEN KIRKESTREDET 9;1998-11-22;tollerodden.no
396;tollkonsult.no;985675139;ASTAD TOLLKONSULT;2003-05-12;tollkonsult.no
399;tombre.no;941541240;TOMBRE FISKEANLEGG AS;1995-02-19;tombre.no
401;tommen.no;N.LEG.000000479;BEWI Produkter AS;1995-02-19;tommen.no
404;tonje.no;852229772;TONJE - WEST DESIGN AS;1995-02-19;tonje.no
406;tonsbergtaxi.no;999255981;Viken Taxi AS;1997-01-31;tonsbergtaxi.no
408;torghatten-nord.no;993205117;TORGHATTEN NORD AS;2008-10-15;torghatten-nord.no
409;torghatten.no;916819927;TORGHATTEN AS;1995-02-19;torghatten.no
412;torpomoen.no;989503154;TORPOMOEN DRIFT AS;2003-05-13;torpomoen.no
413;torsbygg.no;858595312;TORSBYGG AS;1995-02-19;torsbygg.no
417;torvmoen.no;995856492;TORVMOEN VELFORENING;2007-04-16;torvmoen.no
485;vbbl.no;995981378;VANSJØ BOLIGBYGGELAG;1995-02-19;vbbl.no
595;ved3.no;989197207;UNA ELISABETH H. BRAATHE;2006-01-12;ved3.no
598;vef.no;963228074;VEF ENTREPRENØR AS;1995-03-12;vef.no
601;velnett.no;995499886;VELLENES FELLESORGANISASJON;2007-01-04;velnett.no
604;verdensbarn.no;970134891;VERDENS BARN;1995-02-20;verdensbarn.no
609;verdi-eiendom.no;990691304;VERDI EIENDOMSMEGLING STAVANGER AS;2007-01-09;verdi-eiendom.no
611;verge.no;977225736;VERGE OPPLÆRING AS;1997-02-10;verge.no
613;verkarkitektur.no;916297165;Private person;2015-11-26;verkarkitektur.no
616;vest-nap.no;998596386;NAPRAPAT OG HELSE AS;2007-02-17;vest-nap.no
618;vest-telemark.no;975476588;VEST-TELEMARKRÅDET;1995-02-19;vest-telemark.no
622;vestagdermuseet.no;985321841;STIFTELSEN VEST-AGDER FYLKESMUSEUM;1995-02-19;vestagdermuseet.no
626;vestaksen.no;997579070;VESTAKSEN EIENDOM AS;1995-02-19;vestaksen.no
1012;vestbo.no;946450197;VESTBO BBL;1995-02-19;vestbo.no
1080;vesthelse.no;994267183;VEST HELSE OG TRENING AS;1995-02-20;vesthelse.no
1084;vestlandoffshore.no;993945757;VESTLAND MANAGEMENT AS;2009-04-06;vestlandoffshore.no
1085;vestvatn.no;921442688;VESTVATN AS;1995-02-20;vestvatn.no
1089;vetnett.no;977140277;DEN NORSKE VETERINÆRFORENINGS HUMANITÆRE FOND;1997-02-24;vetnett.no
